City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Bangui,CF,4.3612,18.555,73.58,88,40,0.0,light rain
292,Arrifes,PT,37.7667,-25.7,71.24,94,75,3.44,broken clouds
293,Vogar,IS,63.9832,-22.3874,41.56,81,40,23.02,scattered clouds
294,Roura,GF,4.7263,-52.3274,81.97,100,29,0.0,scattered clouds
295,Leningradskiy,RU,69.3833,178.4167,17.74,84,35,2.42,scattered clouds
296,Tottori,JP,35.5,134.2333,87.87,30,75,6.91,broken clouds
297,Placido De Castro,BR,-10.3353,-67.1856,75.02,84,27,2.28,scattered clouds
298,Jaca,ES,42.569,-0.5499,44.8,92,17,5.88,few clouds
299,Gabriel Leyva Solano,MX,25.6667,-108.6417,84.02,56,100,4.99,overcast clouds
300,Dingli,MT,35.8614,14.3822,68.81,78,20,3.44,few clouds
301,Masumbwe,TZ,-3.6333,32.1833,71.19,63,100,0.65,overcast clouds
302,Lucapa,AO,-8.4192,20.7447,67.24,90,84,2.75,light rain
303,Bereda,ES,43.2686,-7.5406,53.42,96,100,4.21,overcast clouds
304,Yanacancha,PE,-10.2411,-76.6456,41.09,92,52,1.72,broken clouds
305,Kruisfontein,ZA,-34.0033,24.7314,49.35,70,10,5.86,clear sky
306,Namibe,AO,-15.1961,12.1522,59.14,89,0,4.23,clear sky
307,Banda Aceh,ID,5.5577,95.3222,85.08,65,22,8.79,few clouds
308,Walvis Bay,NA,-22.9575,14.5053,53.1,87,0,10.36,clear sky
309,Sobrance,SK,48.7445,22.1814,53.37,81,0,2.24,clear sky
310,Lucea,JM,18.451,-78.1736,78.66,79,13,9.44,few clouds
311,Biloela,AU,-24.4167,150.5,97.93,17,12,16.33,few clouds
312,Sibolga,ID,1.7427,98.7792,86.29,61,89,5.66,overcast clouds
313,Labuhan,ID,-6.8844,112.2051,86.49,58,97,10.87,overcast clouds
314,Margate,GB,51.3813,1.3862,55.9,84,46,3.0,scattered clouds
315,Vila Velha,BR,-20.3297,-40.2925,78.75,78,75,10.36,broken clouds
316,Harboore,DK,56.6175,8.1807,54.21,85,86,20.45,overcast clouds
317,Deputatskiy,RU,69.3,139.9,20.91,79,47,6.87,scattered clouds
318,Kamarion,GR,36.8,25.8167,63.82,67,89,26.51,overcast clouds
319,Honningsvag,NO,70.9821,25.9704,51.33,87,75,23.02,broken clouds
320,Yuanping,CN,38.7153,112.7575,46.8,88,100,6.62,moderate rain
321,Shakawe,BW,-18.3667,21.85,64.63,18,41,6.24,scattered clouds
322,Iqaluit,CA,63.7506,-68.5145,28.13,80,1,3.44,clear sky
323,Christchurch,NZ,-43.5333,172.6333,53.94,89,75,1.99,broken clouds
324,Dikson,RU,73.5069,80.5464,35.47,98,100,17.83,light rain
325,Kimbe,PG,-5.5502,150.1429,87.66,61,98,3.8,overcast clouds
326,Kerman,IR,30.2832,57.0788,60.66,29,0,0.0,clear sky
327,Arlit,NE,18.7369,7.3853,83.16,17,0,7.05,clear sky
328,Akyab,MM,20.15,92.9,85.68,69,64,1.99,broken clouds
329,Staraya Mayna,RU,54.6,48.95,44.71,76,72,9.78,moderate rain
330,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,58.89,51,96,12.66,overcast clouds
331,Antofagasta,CL,-23.65,-70.4,56.48,72,41,7.0,scattered clouds
332,Rupert,US,42.6191,-113.6772,57.65,54,1,3.44,clear sky
333,Buenaventura,CO,3.8801,-77.0312,64.9,95,83,0.96,broken clouds
334,Domoni,KM,-12.2569,44.5319,77.18,77,60,6.8,broken clouds
335,Bend,US,44.0582,-121.3153,58.86,39,1,3.44,clear sky
336,Iisalmi,FI,63.5592,27.1907,46.42,86,69,13.0,broken clouds
337,Oksfjord,NO,70.2396,22.3479,54.52,83,100,20.4,overcast clouds
338,Opunake,NZ,-39.4556,173.8583,64.35,88,75,8.23,broken clouds
339,Ongandjera,NA,-17.8833,15.0667,61.45,33,4,5.59,clear sky
340,Nouakchott,MR,18.0858,-15.9785,76.93,83,57,11.18,broken clouds
341,Saldanha,ZA,-33.0117,17.9442,44.65,71,0,13.91,clear sky
342,Izumo,JP,35.3667,132.7667,87.69,29,0,11.5,clear sky
343,Meulaboh,ID,4.1363,96.1285,84.02,64,96,4.21,overcast clouds
344,Rohru,IN,31.2167,77.75,71.69,55,0,4.07,clear sky
345,Kantang,TH,7.4054,99.5156,89.69,70,20,3.44,few clouds
346,Cabedelo,BR,-6.9811,-34.8339,75.87,81,33,14.12,scattered clouds
347,Bagnan,IN,22.9242,88.14,89.49,64,35,6.76,scattered clouds
348,Tezu,IN,27.9167,96.1667,76.1,94,100,1.66,overcast clouds
349,Sioux Lookout,CA,50.1001,-91.917,52.18,100,1,2.3,clear sky
350,Bayonet Point,US,28.3267,-82.6834,78.75,86,86,1.01,overcast clouds
351,Tocopilla,CL,-22.092,-70.1979,60.1,73,14,6.4,few clouds
352,Poronaysk,RU,49.2167,143.1167,51.71,49,60,5.95,broken clouds
353,Abaza,RU,52.655,90.0928,45.37,37,96,2.06,overcast clouds
354,Mana,GF,5.6592,-53.7767,78.64,84,8,10.02,clear sky
355,Karlshamn,SE,56.1706,14.8619,59.49,94,100,8.34,overcast clouds
356,Montero,BO,-17.3333,-63.25,72.5,65,56,13.82,broken clouds
357,Hukuntsi,BW,-24.0,21.75,51.15,26,0,9.01,clear sky
358,Rosetown,CA,51.5501,-108.0014,55.98,35,10,3.44,light rain
359,Hilo,US,19.7297,-155.09,78.53,83,90,8.05,light rain
360,Tuy Hoa,VN,13.0833,109.3,85.33,70,77,11.79,heavy intensity rain
361,Palmer,US,42.1584,-72.3287,63.43,85,90,3.44,mist
362,Sibu,MY,2.3,111.8167,88.11,66,40,5.01,scattered clouds
363,Granja,BR,-3.1203,-40.8261,77.9,81,14,7.85,few clouds
364,Nemuro,JP,43.3236,145.575,72.03,85,100,15.41,moderate rain
365,Saint-Pierre,RE,-21.3393,55.4781,76.68,70,0,5.75,clear sky
366,Stuttgart,DE,48.7823,9.177,57.04,93,75,2.3,light rain
367,Ulladulla,AU,-35.35,150.4667,78.87,36,1,13.71,clear sky
368,Olafsvik,IS,64.8945,-23.7142,40.91,75,100,29.64,overcast clouds
369,Grong,NO,64.4654,12.3149,54.68,68,97,8.25,overcast clouds
370,San Lazaro,BZ,18.0387,-88.6622,73.67,92,31,1.88,scattered clouds
371,Suez,EG,29.9737,32.5263,68.52,79,0,8.57,clear sky
372,Vila Do Maio,CV,15.1333,-23.2167,81.39,82,12,6.17,few clouds
373,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,54.19,44,75,13.42,broken clouds
374,Birjand,IR,32.8663,59.2211,55.87,24,0,6.91,clear sky
375,Torbay,CA,47.6666,-52.7314,52.57,92,90,8.05,overcast clouds
376,Severobaykalsk,RU,55.65,109.3167,39.94,50,100,1.39,overcast clouds
377,Yinchuan,CN,38.4681,106.2731,60.28,23,100,9.44,overcast clouds
